band | n.乐队，带子，镶边
budget | n.预算
unit | n.单元，单位
harm | n./vt.伤害，损伤
wealth | n.财富
else | adv.别的，其他的
blow | n.击，打击；v.吹（气）；刮风
messy | adj.乱七八糟的
wide | adj.宽的，宽阔的，广泛的
edge | n.边缘
pleasure | n.高兴，愉快
collar | n.衣领
exchange | n./v.交换，交流，兑换
interview | n./v.采访；会见；面试
bunch | n.串，束
outside | n.外面，外表，外界；adv.在外面，向外面，出界；
adj.外面的，外表的；prep.在…外
try | v.尝试,试图，努力
find | vt.找到，发现，感到
space | n.空白处，空地；空间，太空
invite | vt.邀请，招待
fan | n.(电影、运动等的）迷，狂热的爱好者、支持者，风扇
score | n.得分，分数；二十；许多，很多；v.得分
fail | v.失败，不及格，衰退
acute | adj.尖锐的，敏锐的；严重的，（疾病）急性的
sleepy | adj.想睡的，困倦的。瞌睡的
respond | v.回答，做出反应
anyhow | adv.不管怎样
downtown | n./adj.市区（的），闹市区（的）
humour | n.幽默，幽默感
which | pron.哪一个；哪一些
difference | n.不同
sense | n.感觉，意识
disagree | vi.意见不一致，持不同意见
dozen | n.十二个，许多
compete | vi.比赛，竞赛
guess | v.猜，猜测，认为
sour | adj.酸的
voyage | n.航行，旅行
environment | n.环境
