either | adj./pron.（两者之中）任一；conj.或者，要么……；adv.也
glance | v./n.扫视，匆匆一看
arrange | vt.安排，布置
ahead | adv.在前，向前
whole | adj.完整的，所有的
frighten | vt.使惊恐，吓唬
insist | v.坚持，坚决认为
coast | n.海岸，海滨
judge | v.判断，评价；n.裁判，法官
background | n.背景
hamburger | n.汉堡包
terrify | vt.使人感到害怕，使恐惧
scene | n.（戏剧、电影等的）一场，场景，布景；景色，风景
modest | adj.谦虚的，谦逊的
sometimes | adv.有时
conduct | vt.引导；管理
schedule | n.时刻表；vt.安排，排定
hit | n./v.（hit，hit，hitting)打，撞；击中
progress | /'prəʊgres/n.进步，上进；/prə'gres/vi.进展，进行
proper | adj.恰当的，合适的
dictation | n.听写
percent | n.百分之……
stamp | n.[C]邮票
design | v.设计；制定；筹划；n.样式
operate | v.动手术；操作，运转
lively | adj.活泼的；充满生气的
blank | adj.空的；茫然的；n.空格，空白，空白处
participate | vi.参加，参与
file | n.文件，档案
wound | vt.伤，使受伤；伤害；n.[C]创伤，伤口
skill | n.技能，技巧
apology | n.道歉，歉意
frequent | adj.经常的，频繁的
cautious | adj.小心的，谨慎的
wonderful | adj.极好的
create | vt.创造；造成
practice | n. 实践；练习；惯例，常规
coach | v.指导，训练；n. 教练；马车；长途车
