place | n.地方，处所；vt.放置，安置
able | adj.有能力的；有才干的，有本事的
nearly | adv.将近；几乎
power | n. 力量；动力
true | adj.真正的，确实的；正确的
vital | adj.重大的，生死攸关的
native | adj.本土的，本国的
parcel | n. 包裹
material | n. 材料，原料；物质
likely | adj.很可能的
cloudy | adj.多云的，阴天的
system | n.体系，系统
late | adj.迟的，晚的；adv.迟，晚
interpreter | n.翻译员，口译人员
everybody | pron.每人，人人
harbour | （美harbor)n.港口
knee | n.膝盖
talk | v.谈话，议论；n.谈话，会谈；演讲
before | prep.在……以前，在……前面；adv.以前；conj.在……之前
wild | adj.野生的
dangerous | adj.危险的
temporary | adj.暂时的，临时（性）的
compare | vt.比较，对照
plot | vt.（plotted，plotted,plotting)密谋；n.情节
rest | n.休息；剩余的部分，其余的人（或物）；vi.休息，歇息
endless | adj.无止境的；没完没了的
type | vt.打字，用打字机打出
worry | 担忧，烦恼
junior | adj.初级的；年少的
dialogue | （美dialog)n.对话
second | n.秒；num.第二；adj.第二的
envy | n./v.嫉妒，羡慕
everything | pron.每件事；一切，所有的东西
entrance | n.入口；入场；入学许可
pavement | n.人行道
register | n.记录，登记簿；v.登记，注册
active | adj.积极的，主动的
reliable | adj.可靠的
