tension | n.紧张（状态），不安；拉紧，绷紧；压力，张力
fool | n.傻子，蠢人，白痴；v.欺骗；做蠢事；游手好闲
avoid | vt.避免，躲开，逃避
appointment | n.约会
drunk | adj.醉的
sick | adj.有病的，患病的，不舒服的；（想）呕吐的
phrase | n.短语，习惯用语
deal | v.（dealt,dealt,dealing)处理；n.量，数额；交易
up | adv.向上；在上方 adj.上面的；n. 上升；
v.（upped,upped,upping)举起；提高；prep.向高处
dive | vi.跳水
summary | n.[C]摘要，概要
correct | vt.改正，纠正；adj.正确的，对的；恰当的
justice | n.正义，公正；司法
finish | v.结束，做完
special | adj.特别的；专门的
fault | n.过错，缺点，毛病
reform | n.改革，改善；v.改革，革新
freeze | v.（froze,frozen,freezing）（使)结冰
nor | conj.也不
at | prep.在……；以……
pity | n.怜悯，同情；憾事
credit | n.信用；信赖；贷方
shame | n.遗憾的事；羞愧
graduate | v.毕业；n.（大学）毕业生；研究生
heap | n.堆 v.堆起来
total | adj.总数的；总括的；完全的；n.合计；vt.合计为
none | pron.无任何东西或人
manage | vt.管理；达成；vi.应付过去
raise | vt.举起；提高，使升高；饲养，养育
make | vt.(made,made,making)制造，做；使成为
describe | vt.描写，叙述
grasp | vt.抓住，紧握；领会
desire | n./v.渴望，期望
until | prep./conj.直到……为止，在……以前
excuse | n.借口，理由；vt.原谅，宽恕
jam | v.（jammed,jammed,jamming)(使)阻塞；n.果酱；阻塞
get | vt.（got,got,getting）得到，获得；link.v.变得；到达
earn | vt.挣得，赚得
