wash | v.洗涤，冲刷；n.洗；洗的衣服
struggle | n./v.努力，斗争，挣扎
boil | v.沸腾，烧开；煮
do | vt.(did,done,doing)做，干；aux.v.用以构成疑问句及否定句
powerful | adj.强有力的，强大的；有影响力的
straight | adj./adv.直的（地）
hold | v.(held,held,holding）拿，握住；举行
advantage | n.优点，好处
competition | n.比赛，竞赛
bargain | n.便宜货，廉价货；v.讨价还价
honour | (美honor)vt.尊敬，给予荣誉；n. 荣誉，光荣
acknowledge | vt.答谢；承认
defence | n. 防御；防护；辩护
practise | (美practice)v.练习；实习；经常做；养成……的习惯
clothing | n.<总称>衣服
influence | n./vt.影响
flesh | n.肉，肉体
burglar | n.盗贼，窃贼
succeed | vi.成功；vt.继承，接替
require | vt.需求，要求
above | prep.在……上面，在……上方；多于，大于； 
adj.上面的，上述的；上文的； adv.在上面
dirt | n.污物，脏物；尘土
post | n.岗位，职位；邮政，邮寄，邮件；vt.投资；邮寄；发布
search | n./v.搜寻，搜查
aboard | prep./adv.在船上，上船
deliver | vt.投递（信件、邮包等）；交付，给
useless | adj.无用的
bark | v.狗叫；n.狗叫声
learn | vi.学，学习；（与of,about连用）得知，获悉；
vt.学，学习，学会，得知
contrary | n.反面；adj.相反的
western | adj.西方的；西部的
sound | vi.发出声音；vt.宣告；link.v.听起来；n.声音
force | vt.强迫，迫使；n.力量，武力
breast | n.胸部；胸怀
generous | adj.慷慨的，大方的
criminal | n.罪犯
because | conj.因为
successful | adj.成功的，有成就的
