empty | vt.倒空；adj.空的
remain | vi.余下，留下；link.v.保持，仍是
swim | vi.游泳；游
thus | adv.这样；因而
occupy | vt.占领，占据
enthusiastic | adj.热心的；热情的
passive | adj.被动的；消极的
motivation | n.动机
fry | v.油炸，油煎
normal | adj.正常的；n.正常，常态，普通
poor | adj.贫穷的；可怜的；差的
tip | vt.(tipped,tipped,tipping)告诫，提示；给小费； n.顶端；小费；提示
defend | vt.保护，防御
potential | adj.潜在的，可能的；n.潜力
might | modal.v.可能；可以
creature | n.生物；动物
rid | vt.(rid,rid,ridding)使……摆脱
entry | n.进入；入口
analyse | vt.分析；研究
witness | v.目击，作证；n.证人，目击者
instrument | n.乐器；工具，器械
weep | v.(wept,wept,weepping)哭泣，流泪
award | n.奖品，奖励
nothing | pron.没有东西，没有什么；无关紧要的东西
hard-working | adj.勤劳的，辛勤工作的
anyone | pron.任何人，无论谁
then | adv.当时，那时；然后；那么（通常用于句首或句尾）
interrupt | v.打扰，打断
shade | n.阴凉处，树荫处
decide | v.决定，下决心
rob | v.(robbed,robbed,robbing)抢夺，抢劫
purpose | n.目的，意图
taste | n.味道；品味；爱好；vt.品尝；察觉……味道； vi.品尝；有味道；link.v.吃起来，滋味是
seal | n.海豹
extreme | adj.极端的，偏激的
argue | v.争论；说服
neither | adj./pron.（两者）都不；conj.也不
other | pron./adj.其他的，另外的
