kill | vt.杀死，弄死；消磨（时间）
suffer | v.受苦，遭受
set | vt.设置，调整；树立；摆放；日落 n.一套；设备
arrest | vt./n.逮捕，拘留
see | v.看见，看到；领会
stare | v.盯着看，凝视
spend | vt.度过；花费（钱、时间等）
majority | n.多数
pour | v.倾泻，不断流出
step | v.走；跨步 n.脚步；台阶
effort | n.努力，艰难的尝试
contribution | n.贡献；捐款
want | v.想要，需要
state | n.状态；国家；州 vt.宣称
dusk | n.黄昏
pace | n.步子，步速；节奏
attract | v.吸引；引起
almost | adv.几乎，差不多
corner | n.角；角落；拐角
report | n./vt.报道，报告
same | n.同样的事 adj.同样的，同一的
approval | n.赞成；认可；批准
drink | v.喝 n.饮酒
grow | v.种植；生长，发育 link.v.渐渐变得，变成
start | n.v.开始，着手；出发
gifted | adj.有天赋的，有才华的
oppose | v.反对
certain | adj.某些；确定的，无疑的；一定会…
observe | v.观察；遵守
stainless | adj.无污染的；无瑕疵的；不锈的
everywhere | adv.到处
visual | adj.视力的，视觉的
concept | n.概念，观念
probably | adv.很可能，大概
attitude | n.态度；看法
conclude | v.推论；断定；完成；结束
slow | adj.缓慢的 v.放慢速度，减缓
hopeful | adj.有希望的；有前途的
