opposite | n.相反，对面；对立面 adj.相反的，对面的
forecast | n.预知 vt.预告，预测
usual | adj.通常的，平常的
sponsor | n.赞助者；主办者 vt.赞助；主办
under | adv.在下 prep.在…下面，向…下面
necessary | adj.必需的，必要的
helpful | adj.有帮助的，有益的
diamond | n.钻石，金刚石；菱形
twice | adv.两次；两倍
channel | n.海峡；频道；通道
growth | n.生长；增长
possible | adj.可能的
found | vt.成立，建立
crime | n.(法律上的)罪，罪行
salary | n.工资，薪水
face | n.脸；面容；表情；面子；（硬币、纸质等的）正面 
vt.面向；面对，朝；正视；面临
commit | v.犯（错误），干（坏事）
laughter | n.笑，笑声
block | n.（木、石等）大块；街区 v.阻塞，阻挡
teach | v.教书；教
top | n.顶部；（物体的）上面
heat | n.热 v.加热
greeting | n.祝贺；问候；致谢
bitter | adj.有苦味的；痛苦的；严酷的
jewelry | n.<总称>珠宝，首饰
drug | n.药，药物；毒品
basic | adj.基本的 n.要素；基础
painful | adj.痛苦的；疼痛的
mail | n.邮政，邮递 vt.<美>邮寄
remove | vt.移动，拿走；去除
borrow | v.（向别人）借用；借
stomach | n.[C]胃，胃部
pet | n.宠物，爱畜
anger | n.愤怒
willing | adj.情愿的，乐意的
present | adj.当前的；出席的 n.礼物，赠品 vt.赠送；介绍
hide | v.掩饰；隐藏
absent | adj.缺席的，不在的
