distant | adj.远的，遥远的
immediately | adv.立即
garage | n.汽车间，汽车库
rely | vi.依赖（于），依靠；信任
just | adv.刚才，恰好；只是，仅 adj.公正的
well | adv.好，充分地 adj.健康的 int.好吧 n.井
fairly | adv.相当；还算；公正地
burn | v.燃，烧，着火；使烧焦；使晒黑 n.烧伤；晒伤
truth | n.事实；真理
pound | n.磅；英镑
automatic | adj.自动的，机械的
middle | n.中间，当中 adj中部的，中间的，中级的
courage | n.勇气，胆略
attack | v./n.攻击，袭击
care | v.介意，在乎；在意；关心 n.照料；保护；小心
kick | v./n.踢
withdraw | v.缩回，撤回
broken | adj.弄坏了的，破碎的
degree | n.程度；度数；文凭
applicant | n.申请人
dream | v.做梦，梦想 n.梦，梦想
view | n.看法；景色
delay | n./v.拖延
admirable | adj.令人钦佩的；极好的
least | n.最少，最少量
join | v.参加，加入；连接；会合
marry | v.和…结婚
possess | vt.占有，拥有
instruct | v.指示；教导；通知
educate | v.教育，培养
fluent | adj.（说话、语言、写作等）流利的，流畅的
comment | n.评论 v.评论；注释
statistics | n.统计表，数字，数据
bill | n.钞票；账单；法案，议案
soon | adv.不久，很快，一会儿
eager | adj.渴望的，热切的
pack | n.包，背包；一群 v.包装，整理
comprehension | n.理解
