supply | n.供给；供应品 v.供给，提供
deserve | vt.应受，值得
battle | n.战斗；战役
absolute | adj.完全的，绝对的
smell | vt.嗅，闻 vi.有臭气 link.v.闻起来… n.气味
decline | v.下降；衰败；倾斜；谢绝
everyone | pron.每人，人人
provide | v.提供
district | n.区，地区
profit | n.利润，益处 v.赢利，获益于
moment | n.[C]片刻，瞬间，刹那
worthy | adj.值得的；相称的
adapt | v.（使）适应；改编
shortcoming | n.[C]缺点，短处
plain | adj.平常的，普通的；明白的 n.草原
speed | v.（使）加速 n.速度
stand | vi.站立 vt.承担，忍受 n.站；台
must | modal v.必须，应当；肯定（表示推测）
aspect | n.方面；外表
skip | vi.跳过；跳读
than | conj.比
shut | n./vt.关闭 adj.关闭的
difficult | adv.难的；艰难的；不易相处的
live | vi.生活，居住 vt.过着，经历 adj.活的；直播的
worn | adj.（经使用或穿戴）破烂的，损坏的
positive | adj.积极的；肯定的
success | n.成功，成就；成功的人（或事）
serious | adj.严肃的，严重的；认真的
damp | adj.潮湿的 n.潮湿
more | adj.更多的 adv.更 pron.更多的…；另外的…
e-mail | n.电子邮件 vt.给…发电子邮件
seek | v.试图；寻找，寻求
cash | n.现金，现钞 vt.兑现
flight | n.飞行；航班；楼梯的一段
catch | vt.接住；捉住；赶上；染上（疾病）
selfish | adj.自私的
eastern | adj.东方的，东部的
absorb | vt.吸收；吸引
