mine | n.矿藏 v.开采，挖掘 pron.我的（名词性物主代词）
answer | n.答案 v.回答，应答；接电话
journalist | n.记者，新闻工作者
multiply | v.（使）相乘；增加
circle | n.圆圈 v.围起来，环绕
meet | v.遇见，会面；满足 n.集会
follow | v.跟随；遵循；仿效
gift | n.赠品；礼物；天赋，才能
forever | adv.永远地，永恒地
victim | n.受害人，牺牲品
therefore | adv.因此，所以
spare | adj.空闲的；多余的，剩余的 vt.提供；匀出，分出
blame | n./vt.责备，责怪
private | adj.私人的；私营的；私密的
weigh | v.称重；重
hunt | v./n.寻找；狩猎，猎取
refer | v.谈到，提到
drawer | n.抽屉
tax | n.税，税款
hang | v.悬挂；装饰；绞死
similar | adj.相似的，像
engine | n.发动机，引擎
breathe | v.呼吸
behalf | n.利益；代表
old | adj.老的，旧的
cut | v.切，剪，销，割；删节 n.伤口
final | adj.最后的 n.决赛；期末考试
combine | v.（使）联合，（使）结合
when | conj.什么时候；当…的时候 adv.在那时
nervous | adj.紧张不安的，神经质的
narrow | adj.狭窄的
hurt | v.伤害
direction | n.方向；说明；说明书；指导
exit | n.出口
draw | v.绘画；拉，吸引；提取（金钱）
personal | adj.个人的，私人的
link | v.连接，联合 n.链环，链接
proud | adj.自豪的，骄傲的
