character | n.字符；性格
insect | n.昆虫
part | n.部分，角色；v.分离，分别
bear | v.承担，忍受；n.熊
angle | n.角度
outgoing | adj.好交际的，外向的，即将离职的
give | v.给，付出
wander | v.游荡，漫步;流浪
idea | n.主意，意见；打算，想法
sort | v.分类，拣选；n.种类，类别
call | n.叫，电话；vt.称呼，呼唤，叫，给…打电话
how | adv.怎样，如何；多少，多么
early | adj.早的，早期的；adv.早，在早期
independent | adj.独立的，有主见的
dismiss | v.解雇，解散
content | adj.满意的；n.内容，含量
permit | v.许可，允许；n.许可证，执照
court | n.法庭，法院；球场
youth | n.青春，青年
possession | n.所有，拥有；财产，所有物
arrive | vi.达到，到达
unless | conj.如果不，除非
risk | n.冒险，风险；vt.冒…的危险
harvest | n./v.收割；收获（物）
mental | adj.精神的，脑力的
electric | adj.电的
fall | v.落（下），降落，跌倒；n.秋季
hand | n.手，指针；vt.交付，传递
relief | n.缓解（疼痛）；轻松
figure | n.数字，人物；v.认为，（在心里）描绘
extra | adj.额外的，外加的
clear | adj.清晰的，明亮的，清楚的
luggage | n.<总称>行李
govern | v.统治，管理
lovely | adj.美好的，可爱的
familiar | adj.熟悉的
somewhere | adv.在某处，到某处
forgive | vt.原谅，宽恕
corporation | n.团体，公司，企业
back | adv.回（原处）；向后；adj.后面的；n.背后，后部；背
