upon | prep.在…上面
central | adj.中心的，中央的；主要的
walk | n.散步 v.走路，步行
intend | v.想要，打算
social | adj.社会的；社交的；群居的
regard | v.当做，看待 n.关心，注意；致意
attach | vt.系上，贴上
pale | adj.苍白的，灰白的
who | pron.谁
opinion | n.看法，见解
comfortable | adj.舒服的；安逸的；舒服自在的
handy | adj.便利的；手边的；附近的
otherwise | adv.否则，要不然
add | v.添加，增加
construction | n.建造，建设；建筑物
virus | n.病毒
appear | vi.出现；看来，似乎
dislike | n./vt.不喜欢，嫌恶
anxiety | n.焦虑；焦急
lightning | n.闪电
cheerful | adj.兴高采烈的，快活的
international | adj.国际的
indicate | vt.指出，显示
support | vt./n.支持，赞助；赡养
even | adv.甚至，更加，还要 adj.平坦的
impossible | adj.不可能的，办不到的
dignity | n.尊严；高贵
escape | v./n.逃跑，逃脱；避开
reason | n.理由，原因 v.说服，劝说
message | n.消息，留言；要旨
also | adv.也
suit | vt.适合 n.一套（衣服）
foggy | adj.有雾的，多雾的
collect | v.收集，搜集
future | n.将来
joke | n.笑话
violent | adj.暴力的；猛烈的
handle | vt.处理 n.柄，把手
