advice | n.忠告，劝告，建议
professor | n.教授
comfort | v.安慰，（使痛苦）缓和 n.安慰，慰问
enough | n./adj./adv.足够（的/地）；充足（的/地）
fair | adj.公平的；晴朗的；白皙的 n.集市，展览会
sweep | vt.扫除，打扫
length | n.长，长度
shake | vt.使摇动，震动
reservation | n.（旅馆房间等的）预定；预约
approximately | adv.近似的，大约
hope | n./v.希望
introduce | vt.介绍；引进
guide | n.向导，导游 v.指导；指引
near | prep.在…附近，靠近 adj.附近，邻近
something | pron.某事；某物
lose | vt.失去，丢失
charge | v.收费；指控；索价；充电 n.费用，价钱
all | adj./pron./adv.（三者以上）全部
during | prep.在…期间，在…过程中
range | n.范围；射程
foreign | adj.国外的
front | adj.前面的；前部的 n.前面；前部；前线
hire | vt.租用
spread | n./v.延伸，展开；传播
tired | adj.疲劳的，累的；厌烦的
own | adj.自己的 vt.拥有
smile | n./v.微笑
prize | n.奖赏，奖品，奖金
outer | adj.外部的
appearance | n.出现，露面；容貌
look | n.[C]看，瞧vi.看，瞧；看起来；注意
one | num./pron.一个（人或物）；任何人（泛指）
predict | v.预言；预报
fit | v.（使）适合 adj.适合的，健康的
that | adj./pron.那，那个 conj.（引导从句，无词义）adv.那么，那样
function | n.功能，作用，职责 vi.起作用；行使职责
reward | n.奖赏；报答；报酬；回报
condition | n.条件，状况
