let | vt.让
mark | n.标记；分数 v.做记号，标记
clerk | n.书记员；办事员；职员
quarrel | n./vi.争吵，吵架
single | adj.单一的，单个的
peace | n.和平；安宁
silent | adj.无声的，沉默的
corrupt | adj.腐败的，贪污的 v.腐烂，腐蚀
while | conj.正当…的时候；然而 n.一小会儿
atmosphere | n.气氛；大气
furniture | n.<总称>家具
menu | n.菜单
electricity | n.电；电流
note | n.便条，笔记，注释 vt.记录，注意
consist | vi.由…组成
drop | v.掉下，落下 n.滴；下降
spoken | adj.口语的
cover | n.盖子；罩；封面 vt.覆盖；掩盖；包括；报道
with | prep.与，伴随；有，以
clone | n./v.克隆，无性繁殖
sing | v.唱，唱歌
friendly | adj.友好的
skate | vi.溜冰，滑冰
freezing | adj.冻结的；极冷的
sail | v.航行，开航 n.帆；航行
agree | v.同意；应允
case | n.情况；病例；案件；容器
why | adv./conj.为什么 int.(表示吃惊或不满意)哎呀；什么
patient | n.病人 adj.耐心的
nation | n.民族，国家
bath | n.洗澡；浴室；澡盆
favour | n.恩惠；好感；帮助
lap | n.大腿；（跑道的）一圈
trap | vt.使陷入困境 n.陷阱，圈套
magic | n.魔法，魔术 adj.有魔力的
unique | adj.唯一的，独特的
main | adj.主要的
adore | vt.爱慕，崇拜
