choose | vt.选择；决定
awake | v.唤醒 adj.醒着的
brand | n.商标，牌子
due | adj.预期的；约定的
measure | v.测量；权衡 n.方法，措施
touch | v.触摸，接触 n.接触；联系 vt.感动
since | conj.从…以来；由于 prep./adv. 从…以来
win | v.赢得，获胜
transport | n.运输；传送器 vt.运输，传送
explode | v.（使）爆炸；爆发
remote | adj.遥远的
peaceful | adj.和平的，安宁的
close | adj.近的；亲密的 adv.近，靠近 v.关，关闭
perhaps | adv.可能，也许
solid | adj.结实的，固体的 n.固体
energetic | adj.精力旺盛的
folk | adj.民间的
break | v.打破，弄坏；撕开 n.间歇；休息
nobody | pron.没有人，谁也不 n.小人物
passport | n.护照
important | adj.重要的
medical | adj.医学的，医疗的
addition | n.增加；加法
admit | v.承认；准许（入场，入学等）
discount | n.折扣
reflect | vt.反射，反映
concentrate | v.集中，聚集
help | n./v.帮助，帮忙；有帮助，有用
choice | n.选择，抉择
research | n.研究，调查
technical | adj.技术的，工艺的
number | n.数字，号码；数量
aware | adj.知道的，意识到的
square | n.广场；正方形 adj.平方的；方形的
legal | adj.法律的，法定的
arise | vi.起来，升起；出现
sharpen | v.（使）变锐利，削尖
crossroads | n.十字路口
