arm | n.手臂；支架 v.以…装备，武装起来
flat | adj.平的 n.一套房间；公寓
print | v.印刷
natural | adj.自然的，天然的；天生的
mercy | n.怜悯
each | adj./pron.每人，每个，每件
housework | n.家务劳动
zip | v.拉开拉链，拉上拉链 n.拉链
insurance | n.保险
sit | vi.坐
lay | v.放，搁；产（卵）
ancient | adj.古代的，古老的
exam | n.考试，测试；检查
sharp | adj.尖锐的；敏锐的；整点的
chain store(s) | n.连锁店
anybody | pron.任何人，无论谁
few | adj.不多的，少数的 pron.不多，少数
favourite | adj.特别喜爱的 n.特别喜爱的人（或物）
false | adj.假的；不正确的
say | v.说，讲
anxious | adj.忧虑的；焦急的
pollution | n.污染
bring | vt.拿来，带来，取来
brake | n.闸 v.刹车
after | prep./conj./adv. 在…之后，后来
labour | n.劳动，劳力
urgent | adj.急迫的，紧急的
love | n.爱；热爱；爱情；爱好 vt.爱，热爱；很喜欢
carry | v.携带；搬运；背
outward(s) | adv.向外，在外 adj.向外的，外出的
wonder | v.想知道；对…感到惊讶 n.奇迹
vacation | n.假期，休假
tear | v.扯破，撕开 n.眼泪
mad | adj.发疯的；生气的
belief | n.信条，信念，信仰；信任，相信
horrible | adj.令人恐惧的，恐怖的
fold | v.折叠；合拢；包围
panic | v.（使）惊恐，恐慌 n.惊慌，恐慌
