loss | n.丧失；损耗
command | n./v.命令
examine | v.检查，诊察
amazing | adj.令人惊异的
full | adj.满的，充满的，完全的 adv.完整地，十分地
eastward(s) | adv.向东
run | vi.跑，奔跑；褪色；经营，管理
demand | n./v.要求，需要
accuse | vt.控告，谴责
receive | v.收到，得到
treat | vt.对待，看待；治疗
word | n.单词；言语；消息，音讯
crowd | n.人群；堆 v.拥挤，群聚
return | v.归还，返还 n.返回，来回
boring | adj.令人厌烦的
confident | adj.自信的；确信的
besides | prep.除…以外(还) adv.此外；再说
expert | n.专家，能手
wait | v.等待 n.等待，等候
chest | n.箱子；胸部
tend | vt.照管，护理 vi.趋向，往往是
fare | n.（乘车或船等的）费用，票（价）
happen | v.（偶然）发生，碰巧
income | n.收入，所得
discuss | v.讨论，议论
celebrate | v.庆祝
tie | v.（用绳、线）系，栓，扎 n.关系；领带；绳子，结
serve | vt.服务，招待；服役
alone | adj.单独的，孤独的
own | adj.自己的 vt.拥有
disturbing | adj.令人不安的；引起烦恼的
rainfall | n.一场雨；降雨量
aside | adv.在旁边
board | n.木板；布告牌；委员会 vt.上(船、火车、飞机)
handful | n.（一）把；少数，少量
continue | v.延伸；继续
mend | v.修理，修补
application | n.申请；申请书
