wealthy | adj.富有的
duty | n.责任；义务；税
mainland | n.大陆
injure | vt.损害，伤害
resemble | vt.像，类似
remind | vt.提醒，使记起
pollute | vt.污染
alike | adj.相同的，相似的 adv.类似于，以同样的方式
decrease | v.减小，减少
seem | link.v.似乎，好像
regular | adj.规则的；经常的
fuel | n.燃料
over | prep.在…之上；超过 adv.越过 adj.完了，结束了
considerate | adj.体贴的，考虑周到的；替人着想的
speak | v.说，讲；谈话；发言
master | vt.精通，掌握 n.主人；硕士
object | n.物体；目标；宾语 v.反对
fond | adj.喜爱的，爱好的
staff | n.全体职员
package | n.（尤指包装好或密封的）一包，一袋，一盒；包裹
guilty | adj.有罪的，犯法的；内疚的
exercise | n.练习；锻炼 v.锻炼
ever | adv.曾经；无论何时
hall | n.大厅，礼堂；门厅，过道
innocent | adj.清白的，无罪的；纯真的
parking | n.停车
freeway | n.高速公路
reasonable | adj.合理的，有道理的；通情达理的，合乎情理的
available | adj.有空的；可得到的，可用的
plus | prep.加，加上
outstanding | adj.突出的，显著地；杰出的
experiment | n.实验
can | v.可能；能够；可以 n.罐头；铁罐；垃圾桶
comb | v.梳 n.梳子
optimistic | adj.乐观的
sight | n.情景，风景；视力
debt | n.债务，欠款
shout | n.喊，高声呼喊 v.呼喊，呼叫
