boundary | n.边界，分界线
cruel | adj.残忍的，残酷的；无情的
spy | n.密探，间谍 v.侦探，刺探
insert | vt.插入
amaze | vt.惊奇，惊叹，震惊
beat | v.打赢；跳动；敲打 n.（音乐）节拍
confuse | vt.使糊涂；搞乱
afford | vt.买得起；有时间做；承担得起；提供
nod | v./n.点头
access | n.通道；（使用或者见到的）机会，权利 vt.进入；存取
official | n.（公司或政府的）官员；高级职员  adj.官方的，政府的；公务的
intelligence | n.智力，聪明
discover | vt.发现，找到
ugly | adj.丑陋的，难看的
employ | vt.雇佣
separate | v.（使）分开，（使）分离 adj.单独的，分开的
partner | n.搭档，合作者
plant | vt.种植；播种 n.植物
wherever | conj.无论何处；任何地方
license | n.执照，许可证
subjective | adj.主观的
wake | v.醒来，叫醒
role | n.角色；作用
increase | v.增加，繁殖 n.增加，加大
last | adj./adv.最近，最后 v.持续，维持
fee | n.费，费用
too | adv.也；又；太；很
replace | vt.取代，代替；把…放回原处
composition | n.作文；作曲
shoot | vt.射击，集中；摄影 n.嫩枝，苗，芽
cheat | v.哄骗，欺骗，骗取 n.骗子；诈骗
jump | n.跳跃 v.跳跃；惊起；猛扑
traditional | adj.传统的
fill | v.填空；装满；充满
pardon | vt./n.原谅，宽恕；对不起
move | v.移动，搬动，搬家
poisonous | adj.有毒的；有害的；致命的
inside | prep.在…里面，在…之内 adv.在里面，在内部
used to | aux.v.过去常常
