sudden | adj.突然的
yet | adv.到目前为止；还；仍然
ignore | vt.不理睬；忽视
admission | n.准许进入（或加入）；承认
aid | n.援助，救护；辅助器具 v.帮助
knock | n./v.敲；打；击
together | adv.一起，共同
born | adj.出生的
as | conj.当…时；正如；因为；尽管 
prep.作为，以…身份 adv.像…一样
notice | n.通告，注意 v.注意到
amount | vi.总计；等于 n.数量
pleased | adj.高兴的
achieve | vt.达到，取得
anywhere | adv.任何地方
whenever | conj.无论何时
department | n.部门；（大学的）系
pain | n.疼痛；努力
once | n./adv.一次；曾经 conj.一旦
phone | v.打电话 n.电话；电话机
light | n.光，灯，灯光 vi.点（火），变亮 
adj.明亮的；轻的；浅色的
remember | v.记得；纪念
rather | adv.相当，宁可
strange | adj,奇怪的，奇特的；陌生的
harmful | adj.有害的；致伤的
worthwhile | adj.值得做的
prefer | vt.宁愿（选择）；更喜欢
fix | v.修理，安装；确定，决定
responsibility | n.责任
quantity | n.数量
rise | vi./n. 上升，上涨
expression | n.表情；表达法，表达方式
disappear | vi.消失
so | conj.因此，所以 pron./adv.如此，这么
approach | n.方式，方法 v.接近，靠近
perform | v.表演，表现；履行
pump | vt.用泵抽水；抽 n.抽水机，泵
