free | adj.自由的，空闲的；免费的
very | adv.很，非常；adj.恰好的，正好的
land | n.陆地；v.登陆，降落
flame | n.火焰，光辉
political | adj.政治的
bit | n.一点，一些，少量
journey | n.旅行，路程
lie | n.谎言；vi.躺，卧，平放，位于；vt.说谎
merciful | adj.仁慈的，宽大的
bend | v.弯曲，弯腰，屈身
cycle | n.周期，循环；vi.骑自行车，循环；vt.使循环
annoy | vt.使烦恼，使生气；骚扰
mind | n.思想；v.介意
die | v.死亡，消失；熄灭
fact | n.事实，现实
declare | v.宣布，声明，申报（应纳税品）
warn | vt.警告，预告
obey | v.服从，顺从
grade | n.等级，（中小学的）学年；成绩，分数
expensive | adj.昂贵的，高消费的
announce | v.宣布，宣告
nowhere | adv.任何地方都不，无处
persuade | v.说服，劝说；使相信
decision | n.决定，决议
real | adj.真实的，确实的
seldom | adv.很少，不常
need | vt.需要；modal v.必须；n.需要，需求
spot | n.斑点，污点，场所，地点；vt.沾上污渍，弄脏，认出，发现
anyway | adv.不管怎样
punish | vt.惩罚，处罚
challenge | n.挑战，挑战性；vt.挑战
situation | n.形势，情况
extraordinary | adj.非常的；非凡的
frost | n.霜
convince | vt.使确信，使信服
shock | vt.使震惊；n.震动，冲击
slight | adj.轻微的，细小的
unfair | adj.不公平的，不公正的
on | prep.在…上，在…时候，在…地方，关于；adv.继续
