somehow | adv.以某种方式；不知怎么地
though | conj./adv. 虽然，可是，尽管
become | vt.变得，成为
precious | adj.宝贵的，珍贵的
authority | n.权威；当局
vain | adj.自负的；徒劳的
instead | adv.代替，顶替
afterward(s) | adv.后来
ashamed | adj.惭愧的，害臊的，羞耻的
danger | n.危险
childhood | n.幼年时代，童年
mistaken | adj.错误的
fetch | v.去取来，去请来
drag | v.拖，拽
chat | n.聊天，闲谈 vi.聊天，闲谈
kilo | n.千克；公斤
public | adj.公共的，公众的，国家的 n.公众
offer | v./n.提供；提出；出价
explain | vt.解释，说明
cigarette | n.香烟
bother | vt.烦扰，打扰
emergency | n.紧急情况或状态
eyesight | n.视力，视觉
suggestion | n.建议
entire | adj.整个的，全部的
sleep | n./vi.睡觉
dust | n.灰尘，尘土
beg | v.请求，乞求
mobile | adj.活动的，可移动的
benefit | n.利益，好处 vt.使受益
ready | adj.准备就绪的
invent | vt.发明，创造
sensitive | adj.敏感的；灵敏的；易被惹恼的
some | adj.一些，若干；有些；某一 pron.若干，一些
whichever | pron.不论哪个
