screen | n.幕，荧光屏
pay | v.付钱，给…报酬；n.工资
goal | n.目标，进球得分；（足球）球门
consider | vt.考虑，认为
simple | adj.简单的，简易的
select | vt.选择，挑选，选拔；a.精选的
only | adj.唯一的，仅有的；adv.只，仅仅
drive | v.驾驶，开（车）；驱赶
basement | n.地下室
identity | n.身份，一致
hammer | n.锤子，锣锤；v,敲，锤击
throw | v.投，掷，扔
embarrass | vt.使困窘，使局促不安
bite | v.咬，叮；n.咬，一口
energy | n.精力，能量
festival | n.节日
expect | v.预料，期望，要求
camp | n./vi.野营，宿营
analysis | n.分析，解析
evident | adj.明显的，显然的
smoke | n.烟；v.冒烟，吸烟
deaf | adj.聋的
dial | v.拨（电话号码）
repeat | vt.重说，重做，重复
plenty | n.充足，大量，丰富
humorous | adj.幽默的
geography | n.地理学
correction | n.改正
bare | vt.使赤裸，露出；adj.赤裸的
action | n.行动
laugh | n.笑，大笑，笑声，嘲笑；vi.笑，大笑
request | n./vt.要求，请求
cause | n.原因，起因；vt.促使，引起
destroy | v.破坏，毁坏
forward | adj.早的，前进的；adv.向前，前进
distinction | n.区别，差别
limit | vt.限制，限定，减少
expand | vt.扩张；vi.发展
custom | n.习惯，习俗
