tense | adj.紧张的，拉紧的；n.时态
puzzle | n.难题、（字，画）谜；v.(使)迷惑，困扰
affair | n.事，事情
cheer | n./v.欢呼，喝彩
admire | vt.钦佩，羡慕
suspect | v.怀疑；n.犯罪嫌疑人
piece | n.一块（片，张，件）；小的部分
pull | v.拉，拖；n.拉力，引力
lamp | n.灯，油灯；光源
sale | n.卖，出售
assume | vt.假定，设想，承担
miss | v.错过，想念
partly | adv.部分地，在一定程度上
key | n.钥匙，答案，键，关键（常与to连用）
determine | v.决定，测定，确定
disaster | n.灾难，祸患
example | n.例子，范例
punctual | adj.准时的
prohibit | vt.禁止，阻止
overcome | v.战胜，克服，胜过
address | n.地址
donate | v.捐赠，赠送
focus | v.聚焦，集中；n.中心，焦点
disadvantage | n.不利条件，弱点
matter | n.事情，物质，原因；vi.要紧，有重大关系
wear | v.穿，戴，留，蓄，磨损，使变旧
about | adv.大约，到处，周围；prep.关于，在附近，在周围
praise | n./vt.赞扬，表扬
but | conj.但是，可是；prep.除了，除…之外
afraid | adj.害怕的，恐惧的
family | n.家人，家
health | n.健康，卫生
or | conj.或者，还是，否则
distance | n.距离
take | v.拿走，接受，接纳
leave | v.离开，留下，遗忘
guidance | n.引导，指导
importance | n.重要性
