worried | adj.担心的，烦恼的
wave | v.挥手，摇动；n.波，波浪
what | pron./adj./conj.什么
rare | adj.罕见的，稀有的
outdoors | adv.户外的，野外的；n.户外
gentle | adj.温柔的，柔和的
equal | adj.平等的，相等的；vt.等于，比得上
difficulty | n.困难，费力，异议
always | adv.总是，一直，永远
prejudice | n.偏见，成见
pattern | n.式样，模式
understand | v.懂得，理解
cost | n.成本，代价；vt.花费，使付出（代价）
shall | modal v. 将要，会；应该，…好吗？
way | n.道路，方法，作风
ceremony | n.典礼，仪式
effect | n.效果，作用，影响
civilian | n.平民，老百姓
prepare | v.准备，配制
whether | conj.是否
someone | pron.某人，重要人物
countryside | n.乡下，农村
account | n.账目，描述；v.总计有，认为
process | vt.加工，处理；n.程序，方法
achievement | n.完成，达到；成就，成绩
host | n.主人，节目主持人；vt.招待，主持
awful | adj.糟糕的，可怕的
trade | n.贸易；vt.买卖
contribute | v.捐款，捐献
travel | n./vi.旅行
excite | vt.刺激，使兴奋，使激动
thinking | n.思索，见解，想法
recognize | vt.认出，承认
show | v.给…看，出示，显示；n.展示，展览会，演出
beneath | prep.在…下方，在…下面
education | n.教育，培养
fear | n./v.害怕，恐惧，担忧
form | n.表格，形式，结构；v.形成，组建
murder | n./v.谋杀
