publish | v.出版，发行
adaptation | n.适应，适合；改编本
secure | adj.安全的，可靠的，放心的，无虑的
toward(s) | prep.向，朝，对于
annual | adj.一年一次的，每年的
bush | n.灌木丛，矮树丛
asleep | adj.睡着的，熟睡的
promise | v.答应，允诺，预示；n.答应，允诺，希望，前景
stop | vt.停止，阻止；n.停，（停车）站
compulsory | adj.必修的，义务的
iron | n.铁，熨斗；v.熨烫
worth | adj.值得的，价值…
clap | v.拍手，鼓掌
recover | vi.痊愈；vt.恢复，重新获得
across | prep.横过，穿过
any | adj.任何的，一些；pron.任何一个，任何一些
standard | n.标准，规格；adj.标准的
pronounce | v.发音
contemporary | adj.当代的，同时代的
load | n.担子，货物
test | n./vt.测试，考查，试验
should | modal v. 应该，应当
local | adj.当地的，地方的
respect | n.尊敬，尊重，方面；vt.尊敬，尊重
various | adj.各种各样的，不同的
thought | n.思考，思想，念头
cross | n.十字形的东西，十字架；vt.越过，穿过
lift | n.电梯；vt.举起，抬起；vi.升起，（云、烟等）消散
far | adj./adv.远的（地）
pick | v.拾起，采集；挑选
swallow | vt.吞下，咽下；n.燕子
dress | v.穿衣，打扮；n.女服，连衣裙，服装
cure | n./v.治疗，医好
general | adj.大体的，总的；一般的，普通的
sink | v.（使）下沉，消沉，陷入；n.洗涤槽，污水槽
commitment | n.承诺，许诺，保证，献身，投入
dormitory | n.学生宿舍
helicopter | n.直升机
