article | n.文章；东西；冠词
put | vt.(put,put,putting)放，摆
possibility | n.可能，可能性
error | n.错误
fun | n.乐趣，娱乐
bid | v/n.(bid/bade,bid/bidden,bidding)出价，投标
reduce | vt.减少，缩减
flash | n.闪，闪光，转瞬间 v.（使）闪光，（使）闪现
tell | v.(told,told,telling)告诉，吩咐；辨别，知道
altogether | adv.总共
literary | adj.文学的
treasure | n.金银财宝，财富
represent | vt.代表，表现
surrounding | adj.周围的 n.围绕；[pl.]环境
think | v.(thought，thought，thinking)想，思索；认为
recite | v.背诵
disturb | v.打扰，扰乱
improve | v.改进，更新
shape | n.形状，外形 vt.使成形；制造，塑造
suppose | vt.猜想，假定 vi.料想
lack | n./v.缺乏，缺少
race | n.种族；比赛 v.赛跑，比赛
adolescent | n.[C]青少年 adj.青春期的
habit | n.习惯，习性
significance | n.意义，重要性
hurry | v.赶快；急忙 n.匆忙，仓促
attention | n.注意；关心
interesting | adj.有趣的
stress | n.压力 vt.强调
impress | vt.留下印象
percentage | n.百分率；比例
non-stop | adj./adv.不停的（地），不断的（地）
behave | v.表现；行为得体
belong | vi.属，附属
there | int.那！你瞧！（表示引起注意） adv.在那里
steep | adj.险峻的，陡峭的
survival | n.幸存；生存
divide | v.分，划分；除以
teenager | n.（13-19岁的）青少年，十几岁的少年
